Category,Sub Category,Ward Name
veterinary,Anti Rabies Vaccination of stray dogs,Chikpete
Road Maintenance(Engg),Debris Removal / Construction Material,Shivaji Nagar
Solid Waste (Garbage) Related,Garbage dump,Sudam Nagar
Solid Waste (Garbage) Related,Garbage dump,Karisandra
E khata / Khata services,Ekhata missing in online,Mathikere
Forest,Removal of dead/fallen trees,Jaraganahalli
Others,Others,Bellandur
veterinary,Stray dog related complaints,Jakkur
Solid Waste (Garbage) Related,Garbage dump,Dattathreya Temple
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kavalbyrasandra
Road Maintenance(Engg),Footpath,Konena Agrahara
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jayamahal
Solid Waste (Garbage) Related,Garbage dump,Azad Nagar
Road Maintenance(Engg),Road cutting,Chamrajpet
veterinary,Fatally injured - Needs immediate attention,Cottonpet
Solid Waste (Garbage) Related,Dead animal(s),Gottigere
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Devasandra
Road Maintenance(Engg),Road cutting,Horamavu
veterinary,Stray dog related complaints,Uttarahalli
veterinary,Stray dog related complaints,Bapuji Nagar
veterinary,shifting of the street dogs to other places,Puttenahalli
Electrical,Requirement For New Street Lights,HBR Layout
E khata / Khata services,Ekhata - name correction,Horamavu
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kuvempu Nagar
Forest,Removal of dead/fallen trees,Moodalapalya
veterinary,Stray/Rabid dog bite,Puttenahalli
Others,Others,Ullalu
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Yelachenahalli
Others,Others,Jogupalya
Solid Waste (Garbage) Related,Public dustbins not cleaned,Sunkenahalli
Forest,obstructions Branches / Trees.,Hombegowda Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Basavanapura
veterinary,Stray dog related complaints,Begur
Road Maintenance(Engg),footpath encroachment,Attiguppe
veterinary,Stray dog related complaints,Basavanapura
veterinary,Stray dog related complaints,Vasanth Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Devarajeevanahalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,J.P.Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Byatarayanapura
Others,Others,Hemmigepura
veterinary,Stray cattle related complaints,Jnanabharathi Ward
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Siddapura
Solid Waste (Garbage) Related,Garbage dump,Dayananda Nagar
Electrical,Street Light Not Working,Jalahalli
Road Maintenance(Engg),UnAuthorised Constructions,Horamavu
veterinary,Animal Cruelty/Ill-Treated / Abused,Hoodi
Electrical,Street Light Not Working,Lakkasandra
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Sunkenahalli
Health Dept,Spraying,Herohalli
Forest,Removal of dead/fallen trees,Aramane Nagar
E khata / Khata services,Khata / Ekhata mutation / transfer,Dodda Bidarkallu
Health Dept,Air/Noise pollution,Ejipura
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Uttarahalli
veterinary,Animal birth control/neutering of stray dogs,HBR Layout
veterinary,Anti Rabies Vaccination of stray dogs,Visvesvarapuram
Solid Waste (Garbage) Related,Garbage dump,Yelahanka old Satellite Town
veterinary,Animal birth control/neutering of stray dogs,Visvesvarapuram
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Begur
Others,Others,Pulikeshi Nagar
Electrical,Street Light Not Working,Vidyapeetha
Storm  Water Drain(SWD),Maintenance of SWD,Sanjay Nagar
E khata / Khata services,ekhata approval pending with ARO,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Deepanjali Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,HSR Layout
Road Maintenance(Engg),Debris Removal / Construction Material,Hebbal
veterinary,Stray/Rabid dog bite,Siddapura
address,phone number,
Solid Waste (Garbage) Related,Garbage dump,Aramane Nagar
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Byatarayanapura
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Shettyhalli
E khata / Khata services,ekhata approval pending with ARO,Hagadooru
veterinary,Stray dog related complaints,HBR Layout
E khata / Khata services,ekhata approval pending with ARO,Visvesvarapuram
Forest,obstructions Branches / Trees.,Giri Nagar
veterinary,Animal Rescue - Not well - Requires attention,Horamavu
Electrical,Requirement For New Street Lights,Hosahalli
veterinary,Animal Rescue - Not well - Requires attention,Herohalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Basavanagudi
Road Infrastructure,Road Infrastructure,Kengeri
Electrical,Street Light Not Working,Dattathreya Temple
E khata / Khata services,Ekhata Other corrections,Madiwala
E khata / Khata services,Technical Issue In Ekhata,Someshwara
Road Maintenance(Engg),Potholes,Pattabhiram Nagar
Storm  Water Drain(SWD),Maintenance of SWD,Doddanekkundi
Sanitation,Urination in Public/Open Defecation,Kengeri
veterinary,Stray dog related complaints,Hoodi
veterinary,Animal birth control/neutering of stray dogs,Vignana Nagar
Road Maintenance(Engg),Potholes,Shiva Nagar
Solid Waste (Garbage) Related,Garbage dump,S.K.Garden
Solid Waste (Garbage) Related,Dead animal(s),Horamavu
veterinary,Fatally injured - Needs immediate attention,A.Narayanapura
E khata / Khata services,Khata / Ekhata mutation / transfer,Hagadooru
Road Maintenance(Engg),footpath encroachment,Siddapura
veterinary,Stray dog related complaints,Marathalli
Road Maintenance(Engg),Road side drains,Thanisandra
Solid Waste (Garbage) Related,Dead animal(s),K.R.Puram
Solid Waste (Garbage) Related,Sweeping not done,Benniganahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kengeri
veterinary,shifting of the street dogs to other places,Begur
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Ullalu
veterinary,Fatally injured - Needs immediate attention,Jeevanbhima Nagar
Health Dept,Spraying,Doddanekkundi
E khata / Khata services,Ekhata missing in online,Horamavu
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Deepanjali Nagar
Forest,obstructions Branches / Trees.,Dayananda Nagar
E khata / Khata services,ekhata approval pending with ARO,Hemmigepura
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Ganeshmandira Ward
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jogupalya
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Padmanabha Nagar
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Ullalu
Solid Waste (Garbage) Related,Garbage dump,Kuvempu Nagar
Solid Waste (Garbage) Related,Sweeping not done,Bilekahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Garbage dump,Shanthi Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Konanakunte
Solid Waste (Garbage) Related,Sweeping not done,Bagalagunte
Solid Waste (Garbage) Related,Garbage dump,Vishwanathnagenahalli
E khata / Khata services,Ekhata - name correction,Hagadooru
veterinary,Fatally injured - Needs immediate attention,Shanthi Nagar
E khata / Khata services,Other Khata / ekhata issues,Begur
but still it is pending with RO. And spot inspection also has not been done .,,
veterinary,Animal Rescue - Not well - Requires attention,Hoodi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Vasanthapura
Others,Others,Hegganahalli
Solid Waste (Garbage) Related,Garbage dump,Kengeri
Forest,obstructions Branches / Trees.,Jnanabharathi Ward
Road Maintenance(Engg),Debris Removal / Construction Material,Hegganahalli
Forest,obstructions Branches / Trees.,Kengeri
Storm  Water Drain(SWD),Maintenance of SWD,Banaswadi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kadugondanahalli
Electrical,Street Light Not Working,Koramangala
veterinary,Dog bite pet dog,Begur
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Varthur
Others,Others,HBR Layout
Road Maintenance(Engg),Road side drains,HSR Layout
veterinary,shifting of the street dogs to other places,Thanisandra
Solid Waste (Garbage) Related,Garbage dump,Vijay Nagar
Road Infrastructure,Road Infrastructure,Bellandur
Storm  Water Drain(SWD),Sewerage water left in SWD,Arakere
Solid Waste (Garbage) Related,Garbage dump,Dr.Rajkumar Ward
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Varthur
Road Maintenance(Engg),Potholes,Rajarajeshwari Nagar
veterinary,shifting of the street dogs to other places,HBR Layout
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Chikkalasandra
Solid Waste (Garbage) Related,Garbage dump,Kottigepalya
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Padmanabha Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Hagadooru
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kempegowda Ward
Solid Waste (Garbage) Related,Garbage dump,Sanjay Nagar
Health Dept,Increase in mosquito density,Gottigere
Markets,Encroachment,Arakere
Forest,obstructions Branches / Trees.,Shettyhalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kottigepalya
Solid Waste (Garbage) Related,Sweeping not done,Konena Agrahara
Electrical,Street Light Not Working,Jayangar
Solid Waste (Garbage) Related,Sweeping not done,Vasanth Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,K.R.Puram
Road Maintenance(Engg),UnAuthorised Constructions,BTM Layout
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Hemmigepura
Forest,obstructions Branches / Trees.,Pattabhiram Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kavalbyrasandra
Road Maintenance(Engg),Potholes,Vignana Nagar
Road Maintenance(Engg),Road side drains,Hegganahalli
Road Maintenance(Engg),Potholes,Begur
veterinary,Stray dog related complaints,Konanakunte
Electrical,Street Light Not Working,Jakkasandra
veterinary,Animal birth control/neutering of stray dogs,Jakkur
Road Maintenance(Engg),Potholes,Horamavu
Electrical,Street Lights Switched On During Day Time,Hosahalli
Road Maintenance(Engg),water stagnation,C.V.Raman Nagar
Solid Waste (Garbage) Related,Dead animal(s),Doddanekkundi
Solid Waste (Garbage) Related,Garbage dump,Agrahara Dasarahalli
veterinary,Stray/Rabid dog bite,Jakkur
Others,Others,Garudacharpalya
Solid Waste (Garbage) Related,Garbage dump,Vidyapeetha
Solid Waste (Garbage) Related,Garbage dump,H.M.T
Road Maintenance(Engg),Debris Removal / Construction Material,Lakkasandra
Solid Waste (Garbage) Related,Dead animal(s),Kodigehalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,C.V.Raman Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,HBR Layout
Electrical,Street Lights Switched On During Day Time,Rajarajeshwari Nagar
Forest,Removal of dead/fallen trees,Banaswadi
Road Maintenance(Engg),Road side drains,Doddanekkundi
Town Planning,UnAuthorised Building Constructions,T-Dasarahalli
Solid Waste (Garbage) Related,Garbage dump,Subhash Nagar
Solid Waste (Garbage) Related,Sweeping not done,K.R.Puram
Forest,obstructions Branches / Trees.,Hampi Nagar
Solid Waste (Garbage) Related,Garbage dump,Banashankari Temple Ward
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Horamavu
Road Maintenance(Engg),Potholes,Ramamurthy Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Byrasandra
Road Infrastructure,Road Infrastructure,Byrasandra
Solid Waste (Garbage) Related,Garbage dump,Maruthi Mandira Ward
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Byrasandra
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Hagadooru
Solid Waste (Garbage) Related,Garbage dump,Kempegowda Ward
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Jnanabharathi Ward
veterinary,Fatally injured - Needs immediate attention,Uttarahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Horamavu
veterinary,Stray dog related complaints,Anjanapur
Road Maintenance(Engg),Debris Removal / Construction Material,Puttenahalli
Health Dept,Increase in mosquito density,Anjanapur
Forest,Removal of dead/fallen trees,Varthur
Solid Waste (Garbage) Related,Dead animal(s),Radhakrishna Temple
Solid Waste (Garbage) Related,Sweeping not done,Anjanapur
veterinary,Animal birth control/neutering of stray dogs,Anjanapur
Solid Waste (Garbage) Related,Dead animal(s),Banaswadi
Solid Waste (Garbage) Related,Garbage dump,Byrasandra
Solid Waste (Garbage) Related,Garbage dump,Konena Agrahara
Electrical,Requirement For New Street Lights,Hoodi
Forest,Removal of dead/fallen trees,Benniganahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,A.Narayanapura
Solid Waste (Garbage) Related,Garbage dump,Dharmarayaswamy Temple Ward
Road Maintenance(Engg),Potholes,Kengeri
Road Maintenance(Engg),footpath encroachment,Kavalbyrasandra
Road Maintenance(Engg),water leakage on road,Giri Nagar
Solid Waste (Garbage) Related,Garbage dump,Vasanth Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Padmanabha Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,K.R.Market
E khata / Khata services,Ekhata in previous owner name,Bommanahalli
Estate,Encroachment,Arakere
veterinary,Stray dog related complaints,Kottigepalya
Road Infrastructure,Road Infrastructure,Begur
veterinary,Stray dog related complaints,Varthur
veterinary,Stray dog related complaints,Hagadooru
Road Maintenance(Engg),Footpath,Chikkalasandra
Road Maintenance(Engg),water stagnation,Bellandur
Road Maintenance(Engg),water stagnation,Doddanekkundi
veterinary,Animal Death Need to file FIR,K.R.Puram
Road Infrastructure,Road Infrastructure,Sampangiram Nagar
Road Maintenance(Engg),Potholes,Gottigere
Road Maintenance(Engg),Footpath,A.Narayanapura
Electrical,Street Light Not Working,Anjanapur
veterinary,Animal Cruelty/Relocated,K.R.Puram
veterinary,Stray dog related complaints,T-Dasarahalli
Health Dept,Unhygienic premises in Hotel etc,Hongasandra
Electrical,Street Light Not Working,Sudduguntepalya
Electrical,Street Light Not Working,Hampi Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Mathikere
veterinary,Stray dog related complaints,K.R.Puram
Sanitation,Public toilet(s) cleaning,Gandhi Nagar
Road Maintenance(Engg),footpath encroachment,Mathikere
Electrical,Street Light Not Working,Rajaji Nagar
veterinary,Stray dog related complaints,Jalahalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,HSR Layout
Electrical,Park Lights Not Working,J.P.Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Bagalagunte
Road Maintenance(Engg),water leakage on road,Arakere
Solid Waste (Garbage) Related,Garbage dump,Kammanahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Hanumantha Nagar
Electrical,Street Light Not Working,A.Narayanapura
Solid Waste (Garbage) Related,Garbage dump,Ejipura
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Manorayanapalya
veterinary,shifting of the street dogs to other places,Hampi Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jalahalli
Others,Others,Banaswadi
Solid Waste (Garbage) Related,Garbage dump,Sampangiram Nagar
Electrical,Street Light Not Working,Nagavara
Forest,Removal of dead/fallen trees,Dodda Bidarkallu
Electrical,Street Light Not Working,Jaraganahalli
Electrical,Street Light Not Working,Marappana Palya
Electrical,Street Light Not Working,Chamrajpet
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Gangenahalli
Road Maintenance(Engg),Potholes,Herohalli
Electrical,Street Light Not Working,Banashankari Temple Ward
Road Maintenance(Engg),water stagnation,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Pattabhiram Nagar
veterinary,Animal birth control/neutering of stray dogs,Varthur
Electrical,Street Light Not Working,Manorayanapalya
veterinary,Stray cattle related complaints,Konena Agrahara
Road Maintenance(Engg),Road cutting,Hampi Nagar
Road Maintenance(Engg),Road cutting,Jogupalya
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,HSR Layout
Electrical,Street Light Not Working,Shakambari Nagar
Electrical,Requirement For New Street Lights,Dodda Bidarkallu
Others,Others,Bapuji Nagar
Road Maintenance(Engg),Road side drains,Nandini Layout
veterinary,Stray dog related complaints,Shiva Nagar
Storm  Water Drain(SWD),Maintenance of SWD,Bapuji Nagar
veterinary,Fatally injured - Needs immediate attention,Vijanapura
